,id,seed,budget,train_loss,valid_loss,cost,time_s,status,start_time,end_time,config_batch_size,config_learning_rate,config_d_model,config_alpha_d_ff,config_d_core,config_e_layers,config_dropout,config_lradj
844,704,123,8,0.378974774479866,0.2163235389565651,0.21632353895656511,30.336835622787476,StatusType.SUCCESS,1724960284.6568327,1724960314.9943938,8,6.79957803e-05,512,4,64,2,0.0076977641936,cosine
845,705,123,8,0.3790039300918579,0.2163997792951508,0.21639977929515086,31.158491849899292,StatusType.SUCCESS,1724960315.0168576,1724960346.1762078,8,6.80144906e-05,512,4,64,2,0.007697333587,cosine
846,706,123,3,0.379021517932415,0.216343856205632,0.21634385620563207,12.25437307357788,StatusType.SUCCESS,1724960346.2198815,1724960358.475054,8,6.79851251e-05,512,4,64,2,0.0076986940447,cosine
847,707,123,3,0.3789439752697944,0.2163559657934538,0.2163559657934538,11.629536151885986,StatusType.SUCCESS,1724960358.496836,1724960370.1272078,8,6.79325685e-05,512,4,64,2,0.0076994455759,cosine
848,708,123,3,0.2972787737846374,0.2361005545197526,0.23610055451975262,9.920697450637817,StatusType.SUCCESS,1724960370.1501057,1724960380.0716696,16,5.33224268e-05,32,2,128,4,0.0021893435103,type1
849,706,123,8,0.379021517932415,0.216343856205632,0.21634385620563207,19.905656576156616,StatusType.SUCCESS,1724960380.0942795,1724960400.0007594,8,6.79851251e-05,512,4,64,2,0.0076986940447,cosine
850,709,123,8,0.3790565803647041,0.2163720821403301,0.21637208214033013,31.96013617515564,StatusType.SUCCESS,1724960400.0377016,1724960431.9986415,8,6.74233275e-05,512,4,64,2,0.0076848553739,cosine
851,710,123,8,0.6454295516014099,0.2142082055498924,0.21420820554989245,7.942239999771118,StatusType.SUCCESS,1724960432.0213444,1724960439.964424,64,0.0001007074503,512,4,64,2,0.0076751020883,cosine
852,711,123,3,0.652106523513794,0.2133071827984798,0.2133071827984798,3.6046082973480225,StatusType.SUCCESS,1724960440.351445,1724960443.956786,64,8.50433292e-05,512,4,64,2,0.0076437727263,type1
853,712,123,3,0.6629855632781982,0.2126486588476804,0.21264865884768042,3.6400740146636963,StatusType.SUCCESS,1724960443.9793406,1724960447.62028,64,6.79431812e-05,512,4,64,2,0.007697333587,cosine
854,713,123,3,0.6629340648651123,0.2126480901797755,0.2126480901797755,3.632434606552124,StatusType.SUCCESS,1724960447.6426163,1724960451.2759085,64,6.80187405e-05,512,4,64,2,0.0076990865748,cosine
855,713,123,8,0.6629340648651123,0.2126480901797755,0.2126480901797755,5.369828462600708,StatusType.SUCCESS,1724960451.2982092,1724960456.6688604,64,6.80187405e-05,512,4,64,2,0.0076990865748,cosine
856,714,123,8,0.2955489456653595,0.2185849827164165,0.21858498271641655,7.430278301239014,StatusType.SUCCESS,1724960456.7134404,1724960464.1445327,32,0.0007355762551,32,2,128,1,0.0058288563456,type1
857,715,123,8,,0.2177697209738315,0.21776972097383154,3.704011917114258,StatusType.SUCCESS,1724960464.167349,1724960467.872197,128,0.0001576817853,128,1,128,1,0.0029883150604,cosine
858,716,123,3,0.467349112033844,0.213509505687539,0.213509505687539,3.7105605602264404,StatusType.SUCCESS,1724960467.9221659,1724960471.6335404,64,6.80144906e-05,512,4,256,2,0.007697333587,cosine
859,717,123,3,0.4673330783843994,0.213507299732477,0.21350729973247706,3.6829330921173096,StatusType.SUCCESS,1724960471.6559622,1724960475.3397236,64,6.80142903e-05,512,4,256,2,0.0076998667533,cosine
860,718,123,3,0.3552149534225464,0.2234303318673019,0.2234303318673019,3.5762786865234375,StatusType.SUCCESS,1724960475.3629417,1724960478.9400904,64,0.0001174117312,64,2,128,4,0.0042085443581,type1
861,717,123,8,0.4673330783843994,0.213507299732477,0.21350729973247706,5.48149847984314,StatusType.SUCCESS,1724960478.963271,1724960484.445632,64,6.80142903e-05,512,4,256,2,0.0076998667533,cosine
862,719,123,8,0.6459452509880066,0.2143308866173831,0.21433088661738314,7.95626974105835,StatusType.SUCCESS,1724960484.7459276,1724960492.702937,64,9.88297325e-05,512,4,64,2,0.007721020275,type1
863,720,123,8,0.6628302931785583,0.2126482901496134,0.2126482901496134,7.90541410446167,StatusType.SUCCESS,1724960492.725116,1724960500.6313744,64,6.80721901e-05,512,4,64,2,0.0077859432425,cosine
